Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
1,SC Ganguly,08/07/72,1,1,1
2,BB McCullum,27/09/81,2,1,4
3,RT Ponting,19/12/74,2,1,5
4,DJ Hussey,15/07/77,2,2,5
5,Mohammad Hafeez,17/10/80,2,2,6
6,R Dravid,11/01/73,2,2,1
7,W Jaffer,16/02/78,2,2,1
8,V Kohli,05/11/88,2,1,1
9,JH Kallis,16/10/75,2,3,2
10,CL White,18/08/83,2,4,5
11,MV Boucher,03/12/76,2,1,2
12,B Akhil,07/10/77,2,5,1
13,AA Noffke,30/04/77,2,3,5
14,P Kumar,02/10/86,2,1,1
15,Z Khan,07/10/78,2,6,1
16,SB Joshi,06/06/70,1,7,1
17,PA Patel,09/03/85,1,,1
18,ML Hayden,29/10/71,1,1,5
19,MEK Hussey,27/05/75,1,1,5
20,MS Dhoni,07/07/81,2,1,1
21,SK Raina,27/11/86,1,2,1
22,JDP Oram,28/07/78,1,3,4
23,S Badrinath,30/08/80,2,2,1
24,K Goel,24/12/86,1,2,1
25,JR Hopes,24/10/78,2,1,5
26,KC Sangakkara,27/10/77,1,2,7
27,Yuvraj Singh,12/12/81,1,7,1
28,SM Katich,21/08/75,1,8,5
29,IK Pathan,27/10/84,1,9,1
30,T Kohli,17/12/88,2,1,1
31,YK Pathan,17/11/82,2,2,1
32,SR Watson,17/06/81,2,3,5
33,M Kaif,01/12/80,2,2,1
34,DS Lehmann,05/02/70,1,7,5
35,RA Jadeja,06/12/88,1,7,1
36,M Rawat,25/10/85,2,,1
37,D Salunkhe,12/11/82,2,10,1
38,SK Warne,13/09/69,2,4,5
39,SK Trivedi,04/09/82,2,1,1
40,G Gambhir,14/10/81,1,10,1
41,V Sehwag,20/10/78,2,2,1
42,S Dhawan,05/12/85,1,2,1
43,L Ronchi,23/04/81,2,,5
44,ST Jayasuriya,30/06/69,1,7,7
45,DJ Thornely,01/10/78,2,1,5
46,RV Uthappa,11/11/85,2,1,1
47,PR Shah,03/11/87,2,,1
48,AM Nayar,08/10/83,1,1,1
49,SM Pollock,16/07/73,2,3,2
50,Harbhajan Singh,03/07/80,2,2,1
51,S Chanderpaul,16/08/74,1,10,8
52,LRPL Taylor,08/03/84,2,2,4
53,AC Gilchrist,14/11/71,1,2,5
54,Y Venugopal Rao,26/02/82,2,2,1
55,VVS Laxman,01/11/74,2,2,1
56,A Symonds,09/06/75,2,2,5
57,RG Sharma,30/04/87,2,2,1
58,SB Styris,10/07/75,2,1,4
59,SB Bangar,11/10/72,2,5,1
60,WPUJC Vaas,27/01/74,1,6,7
61,RP Singh,06/12/85,2,6,1
62,WP Saha,24/10/84,2,,1
63,LR Shukla,06/05/81,2,1,1
64,DPMD Jayawardene,27/05/77,2,1,7
65,S Sohal,10/11/87,2,10,1
66,B Lee,08/11/76,2,11,5
67,PP Chawla,24/12/88,1,10,1
68,WA Mota,20/09/81,2,1,1
69,Kamran Akmal,13/01/82,2,,6
70,Shahid Afridi,01/03/80,2,4,6
71,DJ Bravo,07/10/83,2,5,8
72,MA Khote,22/04/80,2,1,1
73,A Nehra,29/04/79,2,9,1
74,GC Smith,01/02/81,1,2,2
75,Pankaj Singh,06/05/85,2,5,1
76,RR Sarwan,23/06/80,2,10,8
77,S Sreesanth,06/02/83,2,3,1
78,VRV Singh,17/09/84,2,5,1
79,SS Tiwary,30/12/89,1,,1
80,DS Kulkarni,10/12/88,2,1,1
81,R Vinay Kumar,12/02/84,2,1,1
82,AB Agarkar,04/12/77,2,11,1
83,M Kartik,11/09/76,1,7,1
84,I Sharma,02/09/88,2,3,1
85,AM Rahane,06/06/88,2,1,1
86,Shoaib Malik,01/02/82,2,2,6
87,MK Tiwary,14/11/85,2,4,1
88,KD Karthik,01/06/85,2,,1
89,R Bhatia,22/10/79,2,5,1
90,MF Maharoof,07/09/84,2,3,1
91,VY Mahesh,21/12/87,2,5,1
92,TM Srivastava,07/11/89,1,1,1
93,B Chipli,27/01/83,2,1,1
94,DW Steyn,27/06/83,2,11,2
95,DB Das,22/09/86,2,4,1
96,MK Pandey,10/09/89,2,1,1
97,HH Gibbs,23/02/74,2,12,2
98,DNT Zoysa,13/05/78,1,6,7
99,D Kalyankrishna,16/12/83,2,5,1
100,SE Marsh,09/07/83,1,7,5
101,SA Asnodkar,29/03/84,2,2,1
102,Sohail Tanvir,12/12/84,1,9,6
103,Salman Butt,07/10/84,1,2,6
104,BJ Hodge,29/12/74,2,2,5
105,Umar Gul,14/04/84,2,3,6
106,AB Dinda,25/03/84,2,5,1
107,SP Fleming,01/04/73,1,,4
108,S Vidyut,03/12/81,1,7,1
109,JA Morkel,10/06/81,1,5,2
110,AB de Villiers,17/02/84,2,1,2
111,LPC Silva,14/12/79,2,10,7
112,DB Ravi Teja,05/09/87,2,4,1
113,Misbah-ul-Haq,28/05/74,2,10,6
114,YV Takawale,05/11/84,2,,1
115,RR Raje,03/09/86,2,3,1
116,PJ Sangwan,05/11/90,2,13,1
117,Mohammad Asif,20/12/82,1,3,6
118,GD McGrath,09/02/70,2,3,5
119,Joginder Sharma,23/10/83,2,3,1
120,MS Gony,04/01/84,2,1,1
121,M Muralitharan,17/04/72,2,2,7
122,M Ntini,06/07/77,2,11,2
123,DT Patil,06/12/84,2,,1
124,A Kumble,17/10/70,2,4,1
125,S Anirudha,14/04/87,2,,1
126,MM Patel,12/07/83,2,5,1
127,CK Kapugedera,24/02/87,2,1,7
128,A Chopra,19/09/77,2,2,1
129,T Taibu,14/05/83,2,1,9
130,J Arunkumar,18/01/75,2,2,1
131,PP Ojha,05/09/86,1,7,1
132,SP Goswami,18/05/89,1,,1
133,SR Tendulkar,24/04/73,2,2,1
134,U Kaul,02/12/87,1,,1
135,TM Dilshan,14/10/76,2,2,7
136,A Mishra,24/11/82,2,10,1
137,AD Mascarenhas,30/10/77,2,3,10
138,NK Patel,26/03/81,1,,1
139,LA Pomersbach,28/09/84,1,2,5
140,Iqbal Abdulla,02/12/89,1,7,1
141,Younis Khan,29/11/77,2,1,6
142,PM Sarvesh Kumar,26/04/89,2,1,1
143,DP Vijaykumar,20/10/86,2,1,1
144,Shoaib Akhtar,13/08/75,2,11,6
145,Abdur Razzak,15/06/82,1,7,11
146,H Das,10/12/86,2,,1
147,DR Smith,12/04/83,2,1,8
148,SD Chitnis,06/05/87,2,2,1
149,CRD Fernando,19/07/79,2,3,7
150,VS Yeligati,23/04/85,2,2,1
151,L Balaji,27/09/81,2,5,1
152,A Mukund,06/01/90,1,4,1
153,RR Powar,20/05/78,2,2,1
154,JP Duminy,14/04/84,1,2,2
155,A Flintoff,06/12/77,2,3,10
156,T Thushara,01/03/81,1,6,7
157,JD Ryder,06/08/84,1,1,4
158,KP Pietersen,27/06/80,2,2,2
159,T Henderson,01/08/74,2,3,2
160,Kamran Khan,10/03/91,1,9,1
161,RS Bopara,04/05/85,2,1,10
162,CH Gayle,21/09/79,1,2,8
163,MC Henriques,01/02/87,2,3,5
164,R Bishnoi,08/10/87,2,5,1
165,FH Edwards,06/02/82,2,11,8
166,KV Sharma,23/10/87,1,4,1
167,PC Valthaty,07/12/83,2,1,1
168,RJ Quiney,20/08/82,1,1,5
169,AS Raut,03/03/87,2,4,1
170,Yashpal Singh,27/11/81,2,1,1
171,M Manhas,12/10/79,2,2,1
172,AA Bilakhia,31/05/86,2,1,1
173,AN Ghosh,19/10/86,2,1,1
174,BAW Mendis,11/03/85,2,2,7
175,DL Vettori,27/01/79,1,7,4
176,MN van Wyk,20/03/79,2,7,2
177,RE van der Merwe,31/12/84,2,7,2
178,TL Suman,15/12/83,2,2,1
179,Shoaib Ahmed,17/08/90,2,3,6
180,GR Napier,06/01/80,2,1,10
181,KP Appanna,20/12/88,2,7,1
182,LA Carseldine,17/11/75,1,13,5
183,NV Ojha,20/07/83,2,,1
184,SM Harwood,01/03/74,2,3,5
185,M Vijay,01/04/84,2,2,1
186,SB Jakati,27/11/80,1,7,1
187,DA Warner,27/10/86,1,10,5
188,RJ Harris,11/10/79,2,11,5
189,D du Preez,08/11/81,2,3,2
190,M Morkel,06/10/84,1,11,2
191,AD Mathews,02/06/87,2,3,7
192,J Botha,02/05/82,2,2,2
193,C Nanda,29/03/79,2,10,1
194,SL Malinga,28/08/83,2,11,7
195,Mashrafe Mortaza,05/10/83,2,3,11
196,A Singh,21/06/81,2,5,1
197,GJ Bailey,07/09/82,2,1,5
198,AB McDonald,05/06/81,2,3,5
199,Y Nagar,06/01/90,2,2,1
200,SS Shaikh,18/01/87,2,1,1
201,R Ashwin,17/09/86,2,2,1
202,Mohammad Ashraful,07/07/84,2,2,11
203,CA Pujara,25/01/88,2,10,1
204,OA Shah,22/10/78,2,2,10
205,Anirudh Singh,02/08/80,1,1,1
206,Jaskaran Singh,04/09/89,2,1,1
207,AP Tare,07/11/87,2,,1
208,AT Rayudu,23/09/85,2,2,1
209,R Sathish,14/01/81,2,1,1
210,R McLaren,09/02/83,1,5,2
211,AA Jhunjhunwala,01/12/82,2,2,1
212,P Dogra,19/11/84,2,10,1
213,A Uniyal,21/11/81,1,13,1
214,MS Bisla,27/12/84,2,,1
215,YA Abdulla,17/01/83,1,6,1
216,EJG Morgan,10/09/86,1,1,10
217,JM Kemp,02/10/77,2,3,2
218,S Tyagi,17/09/87,2,1,1
219,RS Gavaskar,20/02/76,1,7,1
220,SE Bond,07/06/75,2,11,4
221,KA Pollard,12/05/87,2,5,8
222,S Ladda,10/07/86,2,10,1
223,DP Nannes,16/05/76,2,14,5
224,MJ Lumb,12/02/80,1,1,10
225,DR Martyn,21/10/71,2,1,5
226,S Narwal,16/04/82,1,1,1
227,AB Barath,14/04/90,2,2,1
228,Bipul Sharma,28/09/83,1,7,1
229,FY Fazal,07/09/85,1,1,1
230,AC Voges,04/10/79,2,7,5
231,MD Mishra,09/02/84,2,2,1
232,UT Yadav,25/10/87,2,3,1
233,J Theron,24/07/85,2,5,2
234,SJ Srivastava,22/09/81,2,6,1
235,R Sharma,30/04/87,2,2,1
236,Mandeep Singh,18/12/91,2,1,1
237,KM Jadhav,26/03/85,2,2,1
238,SW Tait,22/02/83,2,11,5
239,KB Arun Karthik,15/02/86,2,4,1
240,KAJ Roach,30/06/88,2,11,8
241,PD Collingwood,26/05/76,2,1,10
242,CK Langeveldt,17/12/74,2,3,10
243,VS Malik,09/05/83,2,1,1
244,A Mithun,25/10/89,2,1,1
245,AP Dole,09/10/87,2,5,1
246,AN Ahmed,05/11/88,2,5,1
247,RS Sodhi,18/10/80,2,1,1
248,DE Bollinger,24/07/81,1,6,5
249,S Sriram,21/02/76,1,7,1
250,B Sumanth,10/05/88,2,5,1
251,C Madan,15/10/82,2,,1
252,AG Paunikar,18/04/88,2,,1
253,MR Marsh,20/10/91,2,1,5
254,AJ Finch,17/11/86,2,7,5
255,STR Binny,03/06/84,2,1,1
256,Harmeet Singh,07/09/92,1,7,1
257,IR Jaggi,27/01/89,2,4,1
258,DT Christian,04/05/83,2,3,5
259,RV Gomez,16/10/85,2,1,1
260,MA Agarwal,16/02/91,2,,1
261,AUK Pathan,17/06/84,2,1,1
262,UBT Chand,26/03/93,2,2,1
263,DJ Jacobs,04/11/82,2,1,2
264,Sunny Singh,18/12/86,2,5,1
265,NJ Rimmington,11/11/82,2,3,5
266,AL Menaria,29/10/90,1,7,1
267,WD Parnell,30/07/89,1,9,2
268,JJ van der Wath,10/01/78,2,5,2
269,R Ninan,19/11/85,2,2,1
270,S Aravind,08/04/84,1,9,1
271,MS Wade,26/12/87,1,1,5
272,TD Paine,08/12/84,2,1,5
273,SB Wagh,09/10/88,1,9,1
274,AC Thomas,09/02/77,2,3,10
275,JEC Franklin,07/11/80,1,13,4
276,Shakib Al Hasan,24/03/87,1,7,11
277,DH Yagnik,22/06/83,1,,1
278,S Randiv,30/01/85,2,2,7
279,BJ Haddin,23/10/77,2,,5
280,NLTC Perera,03/04/89,1,5,7
281,NL McCullum,01/09/80,2,2,4
282,JE Taylor,22/06/84,2,11,4
283,J Syed Mohammad,03/06/83,1,7,1
284,RN ten Doeschate,30/06/80,2,5,12
285,TR Birt,09/12/81,1,1,5
286,AG Murtaza,01/01/90,1,7,1
287,Harpreet Singh,11/08/91,1,1,1
288,M Klinger,04/07/80,2,,5
289,AC Blizzard,27/06/84,1,13,5
290,I Malhotra,23/05/84,2,5,1
291,L Ablish,03/12/82,2,5,1
292,CA Ingram,03/07/85,1,10,2
293,S Nadeem,12/08/89,2,7,1
294,P Parameswaran,30/05/85,2,13,1
295,CJ Ferguson,21/11/84,2,1,5
296,VR Aaron,29/10/89,2,11,1
297,AA Chavan,28/10/85,1,7,1
298,ND Doshi,06/10/78,2,7,1
299,B Kumar,05/02/90,2,1,1
300,Y Gnaneswara Rao,25/08/84,2,1,1
301,S Rana,18/09/84,2,5,1
302,BA Bhatt,13/05/90,1,7,1
303,F du Plessis,13/07/84,2,10,2
304,RE Levi,14/01/88,2,1,2
305,GJ Maxwell,14/10/88,2,2,5
306,SPD Smith,02/06/89,2,4,1
307,MN Samuels,05/02/81,2,2,8
308,SA Yadav,14/09/90,2,2,1
309,KK Cooper,16/02/89,2,1,8
310,JP Faulkner,29/04/90,2,6,5
311,HV Patel,23/11/90,2,1,1
312,DAJ Bracewell,28/09/90,2,3,4
313,DJ Harris,31/12/79,2,1,5
314,Ankit Sharma,20/04/91,1,7,1
315,SP Narine,26/05/88,1,2,8
316,GB Hogg,06/02/71,1,8,5
317,RR Bhatkal,01/09/85,2,1,1
318,CJ McKay,20/02/83,2,3,5
319,N Saini,28/10/88,2,,1
320,DA Miller,10/06/89,1,2,2
321,Azhar Mahmood,28/02/75,2,3,6
322,P Negi,06/01/93,1,7,1
323,RJ Peterson,04/08/79,1,7,2
324,KMDN Kulasekara,22/07/82,2,3,7
325,A Ashish Reddy,24/02/91,2,1,1
326,V Pratap Singh,03/05/92,2,1,1
327,BB Samantray,14/12/88,2,,1
328,MJ Clarke,02/04/81,2,7,5
329,Gurkeerat Singh,29/06/90,2,2,1
330,AP Majumdar,30/04/84,2,4,1
331,PA Reddy,11/02/91,2,10,1
332,K Upadhyay,18/06/86,2,1,1
333,P Awana,19/07/86,2,1,1
334,AD Russell,29/04/88,2,11,8
335,A Chandila,05/12/83,2,2,1
336,CA Lynn,10/04/90,2,7,5
337,Sunny Gupta,27/09/88,2,2,1
338,MC Juneja,12/09/90,2,2,1
339,KK Nair,06/12/91,2,2,1
340,GH Vihari,13/10/93,2,2,1
341,MDKJ Perera,17/08/90,1,,7
342,R Shukla,28/08/90,2,1,1
343,B Laughlin,03/10/82,2,3,5
344,AS Rajpoot,04/12/93,2,1,1
345,M Vohra,18/07/93,2,1,1
346,JD Unadkat,18/10/91,2,13,1
347,Mohammed Shami,03/09/90,2,3,1
348,BMAJ Mendis,15/01/83,1,10,7
349,R Rampaul,15/10/84,1,3,8
350,CH Morris,30/04/87,2,3,2
351,SV Samson,11/11/94,2,,1
352,SMSM Senanayake,09/02/85,2,2,7
353,BJ Rohrer,26/03/81,1,,5
354,KL Rahul,18/04/92,2,,1
355,Q de Kock,17/12/92,1,,2
356,R Dhawan,19/02/90,2,5,1
357,MG Johnson,02/11/81,1,14,5
358,LJ Wright,07/03/85,2,5,10
359,IC Pandey,15/08/89,2,1,1
360,CM Gautam,08/03/86,2,,1
361,X Thalaivan Sargunam,15/05/85,2,2,1
362,DJG Sammy,20/12/83,2,5,8
363,KW Richardson,12/02/91,2,3,5
364,MM Sharma,18/09/88,2,1,1
365,UA Birla,17/11/89,2,1,1
366,Parvez Rasool,13/02/89,2,2,1
367,Sandeep Sharma,18/05/93,2,1,1
368,S Kaul,19/05/90,2,1,1
369,Sachin Baby,18/12/88,1,2,1
370,PV Tambe,08/10/71,2,10,1
371,NM Coulter-Nile,11/10/87,2,11,5
372,CJ Anderson,13/12/90,1,9,4
373,NJ Maddinson,21/12/91,1,7,5
374,AR Patel,20/01/94,1,7,1
375,JJ Bumrah,06/12/93,2,1,1
376,JDS Neesham,17/09/90,1,1,4
377,TG Southee,11/12/88,2,5,4
378,MA Starc,30/01/90,1,14,5
379,BR Dunk,11/03/87,1,,5
380,RR Rossouw,09/10/89,1,2,2
381,Shivam Sharma,09/09/93,2,2,1
382,YS Chahal,23/07/90,2,4,1
383,LMP Simmons,25/01/85,2,5,8
384,VH Zol,23/11/94,1,2,1
385,BCJ Cutting,30/01/87,2,3,5
386,Imran Tahir,27/03/79,2,4,1
387,BE Hendricks,08/06/90,1,6,2
388,S Gopal,04/09/93,2,10,1
389,M de Lange,13/10/90,2,11,2
390,R Tewatia,20/05/93,1,10,1
391,JO Holder,05/11/91,2,5,8
392,Karanveer Singh,08/11/87,2,4,1
393,SS Iyer,06/12/94,2,4,1
394,DJ Hooda,19/04/95,2,2,1
395,Anureet Singh,02/03/88,2,1,1
396,KS Williamson,08/08/90,2,2,4
397,SA Abbott,29/02/92,2,3,4
398,J Suchith,16/01/94,1,7,1
399,RG More,02/02/92,2,1,1
400,HH Pandya,11/10/93,2,5,1
401,D Wiese,18/05/85,2,5,2
402,SN Khan,27/10/97,2,10,1
403,MJ McClenaghan,11/06/86,1,6,4
404,DJ Muthuswami,09/03/81,2,1,1
405,PJ Cummins,08/05/93,2,11,5
406,SN Thakur,16/10/91,2,1,1
407,JC Buttler,08/09/90,2,,10
408,CR Brathwaite,18/07/88,2,3,8
409,MP Stoinis,16/08/89,2,1,5
410,Ishan Kishan,18/07/98,1,,1
411,C Munro,11/03/87,1,5,4
412,P Sahu,21/08/85,2,4,1
413,KH Pandya,24/03/91,1,7,1
414,AD Nath,10/05/93,2,5,1
415,MJ Guptill,30/09/86,2,2,4
416,KJ Abbott,18/06/87,2,3,2
417,TM Head,29/12/93,1,2,5
418,M Ashwin,08/09/90,2,4,1
419,NS Naik,09/11/94,2,,1
420,RR Pant,04/10/97,1,,1
421,SW Billings,15/06/91,2,,10
422,KC Cariappa,13/04/94,2,10,1
423,PSP Handscomb,26/04/91,2,,5
424,Swapnil Singh,22/01/91,2,7,1
425,J Yadav,22/01/90,2,2,1
426,UT Khawaja,18/12/86,1,1,5
427,HM Amla,31/03/83,2,2,2
428,F Behardien,09/10/83,2,3,2
429,BB Sran,10/12/92,1,13,1
430,A Zampa,31/03/92,2,4,5
431,N Rana,27/12/93,1,2,1
432,S Kaushik,07/09/95,2,8,1
433,ER Dwivedi,22/07/88,2,,1
434,CJ Jordan,04/10/88,2,3,10
435,P Amarnath,01/06/82,2,1,1
436,B Geeves,13/06/82,2,3,5
437,Gagandeep Singh,03/10/81,2,5,1
438,A Nel,15/07/77,2,3,2
439,AM Salvi,20/10/81,2,1,1
440,RR Bose,27/02/79,2,3,1
441,SS Sarkar,15/12/84,2,1,1
442,RA Shaikh,12/06/85,1,13,1
443,C Ganapathy,10/06/81,2,1,1
444,MB Parmar,12/04/88,2,2,1
445,AA Kazi,29/09/89,1,7,1
446,Anand Rajan,17/04/87,2,1,1
447,P Prasanth,22/05/85,1,7,1
448,SS Mundhe,27/10/88,2,1,1
449,RW Price,12/06/76,2,7,9
450,TP Sudhindra,24/04/84,1,11,1
451,BW Hilfenhaus,15/03/83,2,3,5
452,S Badree,09/03/81,2,10,8
453,P Suyal,15/10/89,2,13,1
454,MG Neser,29/03/90,2,1,5
455,V Shankar,26/01/91,2,1,1
456,K Santokie,20/12/84,1,13,8
457,JW Hastings,04/11/85,2,3,5
458,TA Boult,22/07/89,2,6,4
459,GS Sandhu,14/06/93,1,3,5
460,Mustafizur Rahman,06/09/95,1,6,11
461,AF Milne,13/04/92,2,11,4
462,Kuldeep Yadav,14/12/94,1,8,1
463,T Shamsi,18/02/90,2,8,2
464,SM Boland,11/04/89,2,3,5
465,DL Chahar,07/08/92,2,1,1
466,P Dharmani,27/09/74,2,,1
467,RV Pawar,06/09/79,1,7,1
468,KH Devdhar,14/12/89,2,,1
469,T Mishra,22/12/86,2,3,1